*Ni (Z = 28) Atomic weight: /A_r / = 58.69000 g mol^-1 *   Nominal
density:   /ρ/ (g cm^-3 ) = 8.8760
    /σ//_a /(barns/atom) = [/μ///ρ/](cm^2 g^-1 )  ×  9.74571E+01 
    /E/(eV) [/μ///ρ/](cm^2 g^-1 ) = /f/_2 (/e/ atom^-1 )  ×  7.16993E+05 
    9 edges. Edge energies (keV):

     
      K      8.33280E+00  L I    1.00810E+00  L II   8.71900E-01  L III  8.54700E-01 
      M I    1.11800E-01  M II   6.81000E-02  M III  6.81000E-02  M IV   3.60000E-03 
      M V    3.60000E-03 

    Relativistic correction estimate /f/_rel (H82,3/5CL) = -1.2883E-01,
    -8.1000E-02 /e/ atom^-1 
    Nuclear Thomson correction /f/_NT = -7.3281E-03 /e/ atom^-1 

------------------------------------------------------------------------
*Form Factors, Attenuation and Scattering Cross-sections*
*Z=28, /E/ = 0.5 - 50 keV*

      /E/            /f/_1           /f/_2         [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]_/K/       lambda
                                      Photoelectric Coh+inc      Total
     keV        /e/ atom^-1       /e/ atom^-1    cm^2  /g/^-1        cm^2  /g/^-1       cm^2  /g/^-1    cm^2  /g/^-1      nm
6.915365E+00  2.65023E+01  6.5229E-01  6.7631E+01  2.2278E+00  6.9859E+01  0.000E+00  1.793E-01
7.392525E+00  2.61454E+01  5.8138E-01  5.6388E+01  2.0966E+00  5.8485E+01  0.000E+00  1.677E-01
7.902609E+00  2.54382E+01  5.1866E-01  4.7057E+01  1.9696E+00  4.9027E+01  0.000E+00  1.569E-01
8.166144E+00  2.45187E+01  4.9051E-01  4.3068E+01  1.9088E+00  4.4977E+01  0.000E+00  1.518E-01
8.291136E+00  2.30862E+01  4.7804E-01  4.1340E+01  1.8810E+00  4.3221E+01  0.000E+00  1.495E-01
8.324467E+00  2.13577E+01  4.7480E-01  4.0895E+01  1.8737E+00  4.2769E+01  0.000E+00  1.489E-01
8.374464E+00  2.31229E+01  3.8783E+00  3.3205E+02  1.8628E+00  3.3391E+02  2.918E+02  1.481E-01
8.447890E+00  2.42866E+01  3.8127E+00  3.2360E+02  1.8471E+00  3.2545E+02  2.843E+02  1.468E-01
8.499456E+00  2.47181E+01  3.7677E+00  3.1783E+02  1.8361E+00  3.1967E+02  2.792E+02  1.459E-01
9.030794E+00  2.63786E+01  3.4017E+00  2.7007E+02  1.7294E+00  2.7180E+02  2.373E+02  1.373E-01
9.653919E+00  2.71216E+01  3.0709E+00  2.2808E+02  1.6167E+00  2.2970E+02  2.012E+02  1.284E-01
1.032004E+01  2.75654E+01  2.7492E+00  1.9101E+02  1.5092E+00  1.9252E+02  1.689E+02  1.201E-01
1.103212E+01  2.78453E+01  2.4485E+00  1.5913E+02  1.4070E+00  1.6054E+02  1.409E+02  1.124E-01
1.179334E+01  2.80311E+01  2.1838E+00  1.3276E+02  1.3101E+00  1.3407E+02  1.178E+02  1.051E-01
1.260708E+01  2.81583E+01  1.9478E+00  1.1078E+02  1.2186E+00  1.1200E+02  9.840E+01  9.834E-02
1.347697E+01  2.82454E+01  1.7376E+00  9.2441E+01  1.1324E+00  9.3573E+01  8.223E+01  9.200E-02
1.440688E+01  2.83043E+01  1.5502E+00  7.7148E+01  1.0514E+00  7.8199E+01  6.871E+01  8.606E-02
1.540095E+01  2.83432E+01  1.3831E+00  6.4391E+01  9.7562E-01  6.5367E+01  5.742E+01  8.050E-02
1.646362E+01  2.83682E+01  1.2341E+00  5.3744E+01  9.0480E-01  5.4649E+01  4.798E+01  7.531E-02
1.759961E+01  2.84192E+01  1.0942E+00  4.4579E+01  8.3882E-01  4.5418E+01  3.982E+01  7.045E-02
1.881398E+01  2.84194E+01  9.6902E-01  3.6929E+01  7.7752E-01  3.7707E+01  3.299E+01  6.590E-02
2.011215E+01  2.84120E+01  8.5820E-01  3.0595E+01  7.2069E-01  3.1316E+01  2.734E+01  6.165E-02
2.149988E+01  2.83996E+01  7.6013E-01  2.5349E+01  6.6814E-01  2.6017E+01  2.265E+01  5.767E-02
2.298338E+01  2.83839E+01  6.7282E-01  2.0989E+01  6.1965E-01  2.1609E+01  1.877E+01  5.395E-02
2.456923E+01  2.83663E+01  5.9559E-01  1.7381E+01  5.7501E-01  1.7956E+01  1.555E+01  5.046E-02
2.626450E+01  2.83479E+01  5.2725E-01  1.4393E+01  5.3399E-01  1.4927E+01  1.289E+01  4.721E-02
2.807676E+01  2.83290E+01  4.6461E-01  1.1865E+01  4.9636E-01  1.2361E+01  1.063E+01  4.416E-02
3.001405E+01  2.83086E+01  4.0881E-01  9.7658E+00  4.6192E-01  1.0228E+01  8.759E+00  4.131E-02
3.208502E+01  2.82880E+01  3.5972E-01  8.0386E+00  4.3043E-01  8.4690E+00  7.216E+00  3.864E-02
3.429889E+01  2.82678E+01  3.1655E-01  6.6173E+00  4.0170E-01  7.0190E+00  5.945E+00  3.615E-02
3.666551E+01  2.82484E+01  2.7821E-01  5.4404E+00  3.7551E-01  5.8159E+00  4.891E+00  3.381E-02
3.919543E+01  2.82295E+01  2.4347E-01  4.4537E+00  3.5166E-01  4.8054E+00  4.004E+00  3.163E-02
4.189992E+01  2.82110E+01  2.1307E-01  3.6460E+00  3.2997E-01  3.9760E+00  3.279E+00  2.959E-02
4.479101E+01  2.81934E+01  1.8647E-01  2.9850E+00  3.1025E-01  3.2952E+00  2.684E+00  2.768E-02
4.788159E+01  2.81768E+01  1.6320E-01  2.4439E+00  2.9234E-01  2.7362E+00  2.198E+00  2.589E-02

