V0_LATITUDE,V0_LONGITUDE,V1_LATITUDE,V1_LONGITUDE,V2_LATITUDE,V2_LONGITUDE,V3_LATITUDE,V3_LONGITUDE,MG_WT,AL_WT,SI_WT,FE_WT,NA_WT,O_WT,TI_WT,CA_WT,chi2
-73.0729,159.573,-78.6578,160.125,-78.0711,163.983,-72.5018,162.275,7.24077067,17.89339879,21.76609018,1.00030484,2.0994226,45.0,1.28e-05,5.00000013,1.330449
82.1953,-62.3179,76.6735,-58.6139,77.2175,-55.6171,82.7624,-57.3245,4.32432042,7.47880292,10.24061649,1.55313672,1.96804732,45.0,19.51720935,9.91786677,2.057445
88.108,33.2274,86.7012,154.702,86.9888,166.536,87.6711,48.9841,2.63704262,15.26050849,6.47056957,3.91317386,4.99998481,45.0,1.71872097,19.99999968,1.243182
70.5663,31.1188,64.9111,30.493,64.8756,32.2172,70.5222,33.2638,2.54106813,5.0000027,5.55507526,1.66784131,1.96779671,45.0,18.6531075,19.6151084,3.324155
-42.1647,-147.113,-47.7819,-146.515,-47.2349,-145.372,-41.6454,-146.033,5.50020547,5.86772862,15.76310801,1.52732292,4.99995326,45.0,1.34168184,19.99999988,3.026653
76.2713,134.312,70.6323,133.509,70.5985,135.55,76.2245,137.136,6.04914992,18.05203544,22.36837214,1.000016,2.53042457,45.0,1.46e-06,5.00000047,2.055535
-77.7098,19.1393,-83.2797,13.8507,-83.7402,20.0504,-78.1204,22.6508,4.56,18.26,18.83,2.91,2.41564445,45.0,6.06000686,13.08086805,1.5208090664749585
78.4548,-78.0998,72.9362,-80.4516,72.4102,-78.3641,77.8941,-75.2106,2.50139744,6.7536774,8.60702636,1.69906575,2.28375502,45.0,19.3600801,13.79499792,1.478596
87.7976,138.503,82.7638,176.082,82.896,-178.46,88.2898,153.505,1.04e-06,19.51805127,2.1641624,4.29363676,4.77383074,45.0,19.23388595,5.01643183,1.672317
88.8039,65.14,82.6932,66.2656,83.2804,71.6535,88.07,84.3725,6.97910439,17.32473628,24.69599982,1.00000316,1.09e-06,45.0,0.00015509,5.00000018,1.199164
69.7569,-65.8327,64.0635,-66.5033,63.7468,-64.6061,69.4162,-63.4689,6.02797276,18.08278721,24.64575164,1.00000013,0.24348619,45.0,1.03e-06,5.00000103,2.16667
74.3781,-76.7939,68.8782,-74.5116,69.474,-72.6862,74.9825,-74.3907,5.09695862,9.50114207,12.92030143,1.04159124,1.99182532,45.0,14.92067129,9.52751003,2.205215
-74.4199,71.8177,-79.9617,74.4539,-79.39,78.0178,-73.886,74.2978,0.18,13.65,22.41,2.58,1.37,45.0,0.66,13.15,2.596661
15.8382,-14.4295,10.0943,-14.5901,10.0339,-13.6935,15.7387,-13.5086,7.41829636,9.84131752,15.09518348,1.00004035,2.33904955,45.0,1.42e-06,19.3061113,2.72335
86.5807,170.434,81.1162,171.283,81.6675,175.332,87.0952,-178.144,7.95561908,19.99999615,13.35249978,1.86638671,4.33e-05,45.0,3.35224317,8.47321183,2.702127
84.8531,22.1093,79.2458,16.0268,79.1511,19.9278,84.6622,29.7617,3.65486076,10.1299274,12.37558354,2.38905321,2.31548384,45.0,12.91214636,11.22294489,1.669274
78.4333,-77.6233,72.9331,-74.5737,73.516,-72.3024,79.0338,-74.3797,8.36088807,18.0810933,20.62329579,1.00000421,1.93471507,45.0,3.42e-06,5.00000013,2.739891
88.5927,21.6777,83.9808,-11.7039,83.8091,-4.5017,89.0158,53.6416,2.67673766,9.39175423,16.03183816,1.53329075,4.86979904,45.0,0.49658239,19.99999778,2.58457
79.6377,-67.3358,73.9523,-68.2756,73.6188,-65.3218,79.2735,-62.9039,3.78082888,9.42825886,8.86687233,1.12901063,1.50579618,45.0,19.4744482,10.81478492,1.471539
-58.7375,-7.8961,-64.2683,-6.5646,-63.6605,-5.1511,-58.165,-6.6673,8.5918347,17.93900845,19.82646902,1.00000045,2.64266467,45.0,1.03e-06,5.00002169,2.065547
-47.001,-66.6097,-52.7029,-66.2631,-52.4051,-64.9046,-46.7233,-65.3873,5.02944736,11.58027405,13.60851176,1.1837802,3.41679761,45.0,0.18458043,19.99660859,2.086545
80.5061,117.843,74.8561,117.41,74.832,120.084,80.4682,122.035,4.21272094,10.35803464,14.79376626,1.28496058,4.0339989,45.0,0.316538,19.99998068,3.270148
87.8779,36.272,82.398,15.9272,82.2692,21.3298,87.4626,50.8117,3.9239192,10.69456859,11.75619737,1.00015224,2.74427068,45.0,18.3644953,6.51639663,1.713943
-6.4019,-66.0721,-12.1595,-66.0146,-12.0605,-65.1076,-6.3347,-65.1748,1.95236998,5.95155956,7.40935524,8.10147446,3.49671436,45.0,8.0885353,19.9999911,3.094391
89.0443,-158.889,84.4699,149.077,84.3396,155.445,89.152,-118.559,2.98620048,8.87862295,9.62590992,2.44553179,5.0,45.0,19.99207181,6.07166305,2.301783
85.9945,100.793,80.3509,100.742,80.3272,104.791,85.9385,110.329,3.66079939,11.71801737,13.34350992,1.87493375,3.75222978,45.0,0.65061947,19.99989032,2.114138
79.0722,131.204,73.431,130.254,73.3958,132.649,79.0197,134.772,4.15832945,10.5657464,11.56724129,2.06445895,3.02152012,45.0,3.62276832,19.99993547,2.567593
-84.8152,71.6342,-89.0411,103.516,-89.6443,42.8095,-84.2688,78.4821,0.18,13.65,22.41,2.58,1.37,45.0,0.66,13.15,2.596661
46.7512,-8.4218,41.1546,-9.023,40.6499,-8.0809,46.2083,-7.4138,14.29327575,11.91239006,21.03203208,1.00000028,1.76229782,45.0,1.01e-06,5.000003,1.825009
-78.1987,-7.2891,-83.7113,-11.0419,-84.3232,-4.5542,-78.783,-3.8477,5.39195035,15.10058421,24.18094847,1.00000039,4.32648937,45.0,1.06e-05,5.00001657,1.287539
22.8349,-174.65,17.1364,-174.774,16.9609,-173.969,22.6199,-173.822,5.38009765,18.89360285,21.22799221,1.00002157,3.49824448,45.0,1.21e-06,5.00004004,3.083279
63.0541,20.2189,57.3725,20.1052,57.125,21.555,62.79,21.959,6.71810598,11.96367746,22.94009871,1.1136443,2.34366998,45.0,1.07e-06,9.9208025,1.351143
73.8804,-20.6644,68.1952,-21.6262,68.1426,-19.4177,73.8107,-17.7438,7.74571986,18.51422399,20.49928185,1.00000151,2.24071966,45.0,1.39e-06,5.00005174,3.153566
89.3302,24.3241,85.9783,165.965,86.1054,176.957,88.7898,60.3783,3.51901149,9.31151598,14.26170698,1.67637656,4.99999937,45.0,1.23152968,19.99985995,1.524038
-52.4499,-77.8425,-57.9629,-76.7768,-57.3099,-75.5632,-51.8235,-76.7348,6.04292545,19.00992166,21.36955889,1.00000061,2.57759064,45.0,2.66e-06,5.00000008,1.406443
80.3718,91.6443,74.7262,91.8209,74.7154,94.4272,80.3551,95.6883,7.51055586,17.99475115,21.90491682,1.00013014,1.58962862,45.0,4.05e-06,5.00001337,3.435644
-51.0876,-113.766,-56.6374,-112.799,-56.009,-111.535,-50.4837,-112.604,3.87668794,8.937803,11.94058051,4.07322492,3.00930817,45.0,3.16239567,19.99999978,1.992927
88.754,-159.878,84.9071,-48.9761,85.0643,-42.1589,89.0178,-130.582,3.34213495,9.11615395,7.24379619,1.99838742,3.91646772,45.0,19.27295334,10.11010643,1.874525
82.6359,115.691,76.9859,115.206,76.9602,118.305,82.5912,121.074,3.56209276,9.33977727,14.16378179,1.58608056,4.99999225,45.0,1.34827566,19.99999971,3.048806
-64.4306,69.4805,-70.1608,69.6391,-70.13,72.2403,-64.4093,71.549,4.47,15.53,15.96,8.91,1.73669382,45.0,1.08982961,13.1963688,2.5976717659936166
88.1301,-71.2863,82.4478,-70.2977,82.1105,-64.1894,87.6904,-49.9597,2.59023013,12.04937448,11.70090274,2.0617026,4.99999458,45.0,1.59780034,19.99999513,2.504331
-72.2518,-112.836,-77.7305,-115.866,-78.3723,-112.861,-72.8792,-110.66,3.80886432,9.28995862,16.1833861,1.13974609,4.50798622,45.0,0.07009033,19.99996831,2.641847
84.0267,133.453,78.3933,131.048,78.3439,134.409,83.9323,139.827,4.14142592,10.17992886,15.38207279,1.98770121,2.12884015,45.0,1.18003351,19.99999756,2.019958
79.3068,114.169,73.6549,113.924,73.6349,116.423,79.2769,117.924,2.80046835,6.12760355,8.37487189,3.0057155,3.6590463,45.0,11.03245117,19.99984324,3.311508
