lat0,lon0,lat1,lon1,lat2,lon2,lat3,lon3,Fe,Ti,Ca,Si,Al,Mg,Na,O,chi2
88.4545,173.07,85.8269,-59.9687,86.0033,-51.5076,88.9306,-168.417,3.200599937234626,13.272571494977004,17.994803449491062,7.775244960233024,7.58048244213679,0.1763006299621405,4.999997085965354,45.0,1.776894
88.6304,177.893,86.2141,-62.1813,86.4096,-52.896,88.1767,-166.146,2.314272729868893,19.150314469802687,11.017385745103155,8.648872346418287,8.346866482778276,0.5223028409619279,4.99998538506677,45.0,1.671776
88.2811,169.424,86.5945,-64.8933,86.8133,-54.6369,87.9014,-175.307,2.952527033826814,5.101279243995279,11.776822281096344,14.66583805442994,12.994036656578544,2.5095029219028917,4.999993808170183,45.0,1.798597
87.822,-81.6425,86.9172,156.115,86.6902,166.712,88.183,-66.7906,3.0194716723166866,19.846182475984925,7.440997536703211,9.096567418364742,8.861593921587835,1.735193475821475,4.999993499221127,45.0,1.704631
88.11,-90.1605,86.5143,154.26,86.3119,163.848,88.5408,-74.3182,2.6513679265014014,19.983321607156576,8.14546552029525,9.209896533850014,8.260579964184116,1.749369828245697,4.999998619766944,45.0,1.58924
88.8579,-86.3459,86.1086,152.792,85.9262,161.523,88.3623,-70.0654,2.6050063154467016,19.99984423470192,7.965803032813702,9.497922534202104,8.030890659518537,1.9005363260233443,4.999996897293692,45.0,1.682547
89.0907,-105.865,85.7009,151.599,85.535,159.601,88.7034,-79.4584,3.333108319752339,19.99943389779123,6.436459513734562,9.374047982108706,8.359347810409279,2.497603036997366,4.999999439206516,45.0,1.870669
89.1654,-133.094,85.2916,150.612,85.1396,157.989,88.9867,-94.768,4.168189286665175,19.99999949320696,5.35423944241918,9.36017056638805,8.160193424682095,2.957207873962718,4.999999912675836,45.0,1.902285
89.1654,-133.094,84.8812,149.782,84.7409,156.619,88.9867,-94.768,2.66718153923278,19.782996883876496,6.214523435610396,9.70280028630151,8.783205742242334,3.167795549717705,4.681496563018774,45.0,2.206212
89.0443,-158.889,84.4699,149.077,84.3396,155.445,89.152,-118.559,2.445531791776011,19.992071805743528,6.071663046486702,9.625909925322787,8.878622952407627,2.986200478560943,4.9999999997023865,45.0,2.301783
88.7846,-176.279,84.058,148.468,83.9365,154.425,89.1293,-146.56,2.7328311775404965,19.999999998282917,6.705415257351611,9.671601277469293,8.265353632617861,2.6247986586638947,4.999999998073932,45.0,2.411151
88.4545,173.07,83.6454,147.937,83.5315,153.532,88.9306,-168.417,2.498755353456444,19.999936439224918,6.949764085560238,9.454993270065131,8.438135561277045,2.6584481520122463,4.999967138403988,45.0,2.68453
88.6304,177.893,83.2324,147.47,83.1253,152.744,88.1767,-166.146,2.4132648308837417,19.999551685431623,6.71643011118382,9.25667787303466,8.656159235900327,3.035203883684898,4.922712379880931,45.0,3.001606
88.2811,169.424,82.819,147.057,82.7179,152.044,87.9014,-175.307,2.1550568223509625,19.99998123627976,6.223381859261904,9.7042286079037,8.806736530424457,3.1107162770130703,4.999898666766135,45.0,3.244223
87.908,163.919,82.4053,146.688,82.3096,151.417,87.5862,177.822,2.0874590914695808,19.99999927190654,6.4913910561352735,9.47235883020359,8.735584065453999,3.2463887114351606,4.966818973395857,45.0,3.369967
87.5199,160.057,81.9914,146.356,81.9005,150.853,87.2428,172.536,1.9584156207008323,19.999998474559963,6.289400366080264,9.385151979585146,8.942955842454017,3.4284400243075157,4.99563769231227,45.0,3.487882
88.9602,171.954,85.3978,-63.5063,85.5392,-55.4466,89.3282,-150.202,1.0000267040177353,0.0020229975186655,5.000000515731658,25.67879309932374,18.319172889678047,8.54938506325803e-06,4.999975244345093,45.0,1.460708
88.6128,161.088,85.7942,-65.1186,85.9494,-56.3116,89.134,-178.011,1.0000003858089417,1.0233385218641533e-06,5.000000468382265,26.25719301538024,15.878925038012362,1.8638809066654247,4.999999162412253,45.0,1.274467
88.8197,166.587,86.1863,-67.063,86.3583,-57.3702,88.3625,-173.925,1.0000017981523164,1.3145573895540347e-06,5.000005407618945,25.298866561215675,15.545969319053686,3.1551557151367944,4.9999998842651845,45.0,1.210638
